"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95"
"Bronn","DAX","5 day",2021-10-27,-7.11166586123291,-1.45306312467861,0.44636816011252,2.11694943162009,6.14368797933761,0.637728433138562,0.387469714718574,1.04539577890859,0.191360273026042,0.739610499240764,0.275297977309953,0.527826848640784,0.191360273026042,TRUE,TRUE
"Joey","DAX","5 day",2021-10-27,-1.82033831215859,-0.761687125294139,0.0803781451378798,0.412460005341962,1.25446317272742,0.637728433138562,0.122903337264858,0.699707779216351,0.557350288000683,0.337902641694901,0.0308367369794428,0.349740156631247,0.557350288000683,FALSE,TRUE
"GeneralGrievous","DAX","5 day",2021-10-27,-2.83844044167135,-0.716084537241839,0.397517949342728,1.51112043592729,3.63347634035681,0.637728433138562,0.173808443740496,0.676906485190201,0.240210483795835,0.436696001394366,0.149787395360912,0.335481761896362,0.240210483795835,TRUE,TRUE
"mean_ensemble","DAX","5 day",2021-10-27,-3.0997250411136,-0.667847555212244,0.195007009937238,1.02464687632851,3.15174480447946,0.637728433138562,0.186872673712608,0.652787994175403,0.442721423201324,0.193459221594974,0.125700818567045,0.320308426250271,0.442721423201324,TRUE,TRUE
"ChandlerBing","DAX","5 day",2021-10-27,-2.41025513884517,-0.607934024254689,0.0580995576161504,0.732092740881533,3.05087214860833,0.637728433138562,0.152399178599187,0.622831228696626,0.579628875522412,0.0471821538714851,0.120657185773488,0.30453972449264,0.579628875522412,TRUE,TRUE
"DexterJettster","DAX","5 day",2021-10-27,-2.13308778549318,-0.534901799109821,0.166567016445729,0.935018516664465,2.92076047370097,0.637728433138562,0.138540810931587,0.586315116124192,0.471161416692833,0.148645041762951,0.11415160202812,0.291762797507937,0.471161416692833,TRUE,TRUE
"Joffrey_Baratheon","DAX","5 day",2021-10-27,-4.78608253,-0.86303212,0.14501314,1.19648736,3.96392261,0.637728433138562,0.271190548156928,0.750380276569281,0.492715293138562,0.279379463430719,0.166309708843072,0.391995058027712,0.492715293138562,TRUE,TRUE
"GinaLinetti","DAX","5 day",2021-10-27,0.068,0.136,0.143,0.192,0.344,0.637728433138562,0.0284864216569281,0.250864216569281,0.494728433138562,0.668592649707844,0.572770444620197,0.403088433138562,0.494728433138562,FALSE,FALSE
"median_ensemble","DAX","5 day",2021-10-27,-3.0997250411136,-0.667847555212244,0.195007009937238,1.02464687632851,3.15174480447946,0.637728433138562,0.186872673712608,0.652787994175403,0.442721423201324,0.193459221594974,0.125700818567045,0.320308426250271,0.442721423201324,TRUE,TRUE
"JabbaTheHutt","DAX","5 day",2021-10-27,-3.67506,-0.67799,0.16858,1.14955,3.7844,0.637728433138562,0.215639421656928,0.657859216569281,0.469148433138562,0.255910783430719,0.157333578343072,0.351178286627713,0.469148433138562,TRUE,TRUE
"DougJudy","DAX","5 day",2021-10-27,-2.7318902345694,-0.657232712499053,0.431342380192546,1.51991747288415,3.59457499495449,0.637728433138562,0.168480933385398,0.647480572818808,0.206386052946016,0.441094519872791,0.147842328090797,0.322256881422762,0.206386052946016,TRUE,TRUE
"KyloRen","DAX","5 day",2021-10-27,-4.17368632841612,-0.755098118232657,0.17113970805894,1.16355037986911,4.01597785564982,0.637728433138562,0.240570738077734,0.69641327568561,0.466588725079622,0.262910973365274,0.168912471125563,0.367079236666761,0.466588725079622,TRUE,TRUE
"HanSolo","DAX","5 day",2021-10-27,-3.29096375136073,-0.835037921397329,0.297649066829464,1.05594455432943,4.5536807918594,0.637728433138562,0.196434609224965,0.736383177267946,0.340079366309098,0.209108060595434,0.195797617936042,0.335560566266697,0.340079366309098,TRUE,TRUE
"ObiWanKenobi","DAX","5 day",2021-10-27,-2.04612788640131,-0.586271281620675,0.0417212212742458,0.586966301076744,2.77347702098452,0.637728433138562,0.134192815976994,0.611999857379619,0.596007211864317,0.0761431980927277,0.106787429392298,0.305026102541191,0.596007211864317,FALSE,TRUE
"PhoebeBuffay","DAX","5 day",2021-10-27,-3.76031877208292,-0.545925253672127,0.201737315813535,1.14715266923534,2.48287475604567,0.637728433138562,0.219902360261074,0.591826843405345,0.435991117325027,0.254712118048389,0.0922573161453555,0.318937951037038,0.435991117325027,TRUE,TRUE
"Shaggydog","DAX","5 day",2021-10-27,-3.49505731505828,-0.861096051562966,0.295479124034821,1.45920632350264,4.07110337407435,0.637728433138562,0.206639287409842,0.749412242350764,0.342249309103742,0.41073894518204,0.17166874704679,0.376141706218636,0.342249309103742,TRUE,TRUE
